dt,WR_x,WR_y,U_dN
1.71,11.5192,11.5192,11.522
1.72,11.5136,11.5136,11.5164
1.73,11.508,11.508,11.5108
1.74,11.5024,11.5024,11.5052
1.75,11.4968,11.4968,11.4996
1.76,11.4911,11.4911,11.4939
1.77,11.4854,11.4854,11.4882
1.78,11.4796,11.4796,11.4825
1.79,11.4738,11.4738,11.4767
1.8,11.468,11.468,11.4709
1.81,11.4622,11.4622,11.4651
1.82,11.4563,11.4563,11.4593
1.83,11.4504,11.4504,11.4534
1.84,11.4445,11.4445,11.4475
1.85,11.4385,11.4385,11.4415
1.86,11.4325,11.4325,11.4355
1.87,11.4265,11.4265,11.4295
1.88,11.4205,11.4205,11.4235
1.89,11.4144,11.4144,11.4174
1.9,11.4083,11.4083,11.4113
1.91,11.4021,11.4021,11.4052
1.92,11.396,11.396,11.3991
1.93,11.3898,11.3898,11.3929
1.94,11.3835,11.3835,11.3867
1.95,11.3773,11.3773,11.3804
1.96,11.371,11.371,11.3741
1.97,11.3647,11.3647,11.3678
1.98,11.3583,11.3583,11.3615
1.99,11.352,11.352,11.3551
2.0,11.3455,11.3455,11.3487
2.01,11.3391,11.3391,11.3423
2.02,11.3326,11.3326,11.3359
2.03,11.3261,11.3261,11.3294
2.04,11.3196,11.3196,11.3229
2.05,11.3131,11.3131,11.3163
2.06,11.3065,11.3065,11.3098
2.07,11.2999,11.2999,11.3032
2.08,11.2932,11.2932,11.2965
2.09,11.2865,11.2865,11.2899
2.1,11.2798,11.2798,11.2832
2.11,11.2731,11.2731,11.2765
2.12,11.2663,11.2663,11.2697
2.13,11.2595,11.2595,11.2629
2.14,11.2527,11.2527,11.2561
2.15,11.2459,11.2459,11.2493
2.16,11.239,11.239,11.2424
2.17,11.2321,11.2321,11.2355
2.18,11.2251,11.2251,11.2286
2.19,11.2182,11.2182,11.2216
2.2,11.2112,11.2112,11.2147
2.21,11.2041,11.2041,11.2077
2.22,11.1971,11.1971,11.2006
2.23,11.19,11.19,11.1935
2.24,11.1829,11.1829,11.1864
2.25,11.1758,11.1758,11.1793
2.26,11.1686,11.1686,11.1722
2.27,11.1614,11.1614,11.165
2.28,11.1542,11.1542,11.1578
2.29,11.1469,11.1469,11.1505
2.3,11.1396,11.1396,11.1433
2.31,11.1323,11.1323,11.136
2.32,11.125,11.125,11.1286
2.33,11.1176,11.1176,11.1213
2.34,11.1102,11.1102,11.1139
2.35,11.1028,11.1028,11.1065
2.36,11.0953,11.0953,11.099
2.37,11.0878,11.0878,11.0916
2.38,11.0803,11.0803,11.0841
2.39,11.0728,11.0728,11.0765
2.4,11.0652,11.0652,11.069
2.41,11.0576,11.0576,11.0614
2.42,11.05,11.05,11.0538
2.43,11.0423,11.0423,11.0461
2.44,11.0346,11.0346,11.0385
2.45,11.0269,11.0269,11.0308
2.46,11.0192,11.0192,11.0231
2.47,11.0114,11.0114,11.0153
2.48,11.0036,11.0036,11.0075
2.49,10.9958,10.9958,10.9997
2.5,10.988,10.988,10.9919
2.51,10.9801,10.9801,10.984
2.52,10.9722,10.9722,10.9761
2.53,10.9642,10.9642,10.9682
2.54,10.9563,10.9563,10.9603
2.55,10.9483,10.9483,10.9523
2.56,10.9403,10.9403,10.9443
2.57,10.9322,10.9322,10.9363
2.58,10.9242,10.9242,10.9282
2.59,10.9161,10.9161,10.9201
2.6,10.9079,10.9079,10.912
2.61,10.8998,10.8998,10.9039
2.62,10.8916,10.8916,10.8957
2.63,10.8834,10.8834,10.8875
2.64,10.8752,10.8752,10.8793
2.65,10.8669,10.8669,10.871
2.66,10.8586,10.8586,10.8628
