dt,WRv_x,WRv_y,U_vN
1.22,-0.401097,-0.401097,-0.399498
1.23,-0.404292,-0.404292,-0.402695
1.24,-0.407486,-0.407486,-0.405889
1.25,-0.410677,-0.410677,-0.409082
1.26,-0.413867,-0.413867,-0.412272
1.27,-0.417053,-0.417053,-0.41546
1.28,-0.420238,-0.420238,-0.418646
1.29,-0.42342,-0.42342,-0.421829
1.3,-0.4266,-0.4266,-0.42501
1.31,-0.429777,-0.429777,-0.428189
1.32,-0.432952,-0.432952,-0.431365
1.33,-0.436125,-0.436125,-0.434539
1.34,-0.439296,-0.439296,-0.43771
1.35,-0.442463,-0.442463,-0.44088
1.36,-0.445629,-0.445629,-0.444046
1.37,-0.448792,-0.448792,-0.44721
1.38,-0.451953,-0.451953,-0.450372
1.39,-0.455111,-0.455111,-0.453532
1.4,-0.458266,-0.458266,-0.456688
1.41,-0.461419,-0.461419,-0.459843
1.42,-0.46457,-0.46457,-0.462994
1.43,-0.467718,-0.467718,-0.466144
1.44,-0.470863,-0.470863,-0.46929
1.45,-0.474006,-0.474006,-0.472434
1.46,-0.477146,-0.477146,-0.475576
1.47,-0.480284,-0.480284,-0.478715
1.48,-0.483418,-0.483418,-0.481851
1.49,-0.486551,-0.486551,-0.484985
1.5,-0.48968,-0.48968,-0.488116
1.51,-0.492807,-0.492807,-0.491244
1.52,-0.495931,-0.495931,-0.494369
1.53,-0.499053,-0.499053,-0.497492
1.54,-0.502172,-0.502172,-0.500612
1.55,-0.505287,-0.505287,-0.503729
1.56,-0.508401,-0.508401,-0.506844
1.57,-0.511511,-0.511511,-0.509956
1.58,-0.514619,-0.514619,-0.513065
1.59,-0.517723,-0.517723,-0.516171
1.6,-0.520825,-0.520825,-0.519274
1.61,-0.523924,-0.523924,-0.522375
1.62,-0.52702,-0.52702,-0.525472
1.63,-0.530114,-0.530114,-0.528567
1.64,-0.533204,-0.533204,-0.531659
1.65,-0.536292,-0.536292,-0.534748
1.66,-0.539376,-0.539376,-0.537834
1.67,-0.542458,-0.542458,-0.540917
1.68,-0.545536,-0.545536,-0.543997
1.69,-0.548612,-0.548612,-0.547074
1.7,-0.551684,-0.551684,-0.550148
1.71,-0.554754,-0.554754,-0.553219
1.72,-0.55782,-0.55782,-0.556287
1.73,-0.560884,-0.560884,-0.559352
1.74,-0.563944,-0.563944,-0.562414
1.75,-0.567001,-0.567001,-0.565473
1.76,-0.570056,-0.570056,-0.568529
1.77,-0.573107,-0.573107,-0.571581
1.78,-0.576155,-0.576155,-0.574631
1.79,-0.579199,-0.579199,-0.577677
1.8,-0.582241,-0.582241,-0.58072
1.81,-0.585279,-0.585279,-0.58376
1.82,-0.588315,-0.588315,-0.586797
1.83,-0.591347,-0.591347,-0.589831
1.84,-0.594375,-0.594375,-0.592861
1.85,-0.597401,-0.597401,-0.595888
1.86,-0.600423,-0.600423,-0.598912
1.87,-0.603442,-0.603442,-0.601933
1.88,-0.606458,-0.606458,-0.60495
1.89,-0.60947,-0.60947,-0.607964
1.9,-0.612479,-0.612479,-0.610975
1.91,-0.615485,-0.615485,-0.613982
1.92,-0.618487,-0.618487,-0.616986
1.93,-0.621486,-0.621486,-0.619987
1.94,-0.624482,-0.624482,-0.622984
1.95,-0.627474,-0.627474,-0.625978
1.96,-0.630463,-0.630463,-0.628968
1.97,-0.633448,-0.633448,-0.631955
1.98,-0.63643,-0.63643,-0.634939
1.99,-0.639408,-0.639408,-0.637919
2.0,-0.642383,-0.642383,-0.640896
2.01,-0.645354,-0.645354,-0.643869
2.02,-0.648322,-0.648322,-0.646838
2.03,-0.651287,-0.651287,-0.649804
2.04,-0.654247,-0.654247,-0.652767
2.05,-0.657204,-0.657204,-0.655726
2.06,-0.660158,-0.660158,-0.658681
2.07,-0.663108,-0.663108,-0.661633
2.08,-0.666055,-0.666055,-0.664581
2.09,-0.668997,-0.668997,-0.667526
2.1,-0.671937,-0.671937,-0.670467
2.11,-0.674872,-0.674872,-0.673404
2.12,-0.677804,-0.677804,-0.676338
2.13,-0.680732,-0.680732,-0.679268
2.14,-0.683656,-0.683656,-0.682194
2.15,-0.686577,-0.686577,-0.685117
2.16,-0.689494,-0.689494,-0.688036
2.17,-0.692407,-0.692407,-0.690951
2.18,-0.695317,-0.695317,-0.693862
2.19,-0.698223,-0.698223,-0.69677
2.2,-0.701125,-0.701125,-0.699674
2.21,-0.704023,-0.704023,-0.702574
2.22,-0.706917,-0.706917,-0.70547
2.23,-0.709807,-0.709807,-0.708362
2.24,-0.712694,-0.712694,-0.711251
2.25,-0.715577,-0.715577,-0.714135
2.26,-0.718456,-0.718456,-0.717016
2.27,-0.721331,-0.721331,-0.719893
2.28,-0.724202,-0.724202,-0.722766
2.29,-0.727069,-0.727069,-0.725635
2.3,-0.729932,-0.729932,-0.7285
2.31,-0.732791,-0.732791,-0.731362
2.32,-0.735647,-0.735647,-0.734219
2.33,-0.738498,-0.738498,-0.737072
2.34,-0.741345,-0.741345,-0.739922
2.35,-0.744188,-0.744188,-0.742767
2.36,-0.747028,-0.747028,-0.745608
2.37,-0.749863,-0.749863,-0.748445
2.38,-0.752694,-0.752694,-0.751278
2.39,-0.755521,-0.755521,-0.754108
2.4,-0.758344,-0.758344,-0.756933
2.41,-0.761163,-0.761163,-0.759754
2.42,-0.763978,-0.763978,-0.76257
2.43,-0.766789,-0.766789,-0.765383
2.44,-0.769595,-0.769595,-0.768192
2.45,-0.772397,-0.772397,-0.770996
2.46,-0.775196,-0.775196,-0.773797
2.47,-0.77799,-0.77799,-0.776593
2.48,-0.780779,-0.780779,-0.779385
2.49,-0.783565,-0.783565,-0.782172
2.5,-0.786346,-0.786346,-0.784956
2.51,-0.789124,-0.789124,-0.787735
2.52,-0.791896,-0.791896,-0.79051
2.53,-0.794665,-0.794665,-0.793281
2.54,-0.797429,-0.797429,-0.796047
2.55,-0.800189,-0.800189,-0.798809
2.56,-0.802945,-0.802945,-0.801567
2.57,-0.805697,-0.805697,-0.804321
2.58,-0.808444,-0.808444,-0.80707
2.59,-0.811186,-0.811186,-0.809815
2.6,-0.813925,-0.813925,-0.812556
2.61,-0.816659,-0.816659,-0.815292
2.62,-0.819388,-0.819388,-0.818024
2.63,-0.822114,-0.822114,-0.820751
2.64,-0.824834,-0.824834,-0.823474
2.65,-0.827551,-0.827551,-0.826193
2.66,-0.830263,-0.830263,-0.828907
2.67,-0.83297,-0.83297,-0.831616
2.68,-0.835673,-0.835673,-0.834322
2.69,-0.838372,-0.838372,-0.837022
2.7,-0.841066,-0.841066,-0.839719
2.71,-0.843755,-0.843755,-0.84241
2.72,-0.84644,-0.84644,-0.845098
2.73,-0.84912,-0.84912,-0.84778
2.74,-0.851796,-0.851796,-0.850458
2.75,-0.854468,-0.854468,-0.853132
2.76,-0.857134,-0.857134,-0.855801
