dt,U_aN
3.2,-0.245307
3.21,-0.244795
3.22,-0.244282
3.23,-0.243767
3.24,-0.243252
3.25,-0.242735
3.26,-0.242217
3.27,-0.241699
3.28,-0.241179
3.29,-0.240657
3.3,-0.240135
3.31,-0.239612
3.32,-0.239088
3.33,-0.238562
3.34,-0.238036
3.35,-0.237508
3.36,-0.23698
3.37,-0.23645
3.38,-0.23592
3.39,-0.235388
3.4,-0.234855
3.41,-0.234321
3.42,-0.233786
3.43,-0.233251
3.44,-0.232714
3.45,-0.232176
3.46,-0.231637
3.47,-0.231097
3.48,-0.230556
3.49,-0.230014
3.5,-0.229471
3.51,-0.228927
3.52,-0.228382
3.53,-0.227836
3.54,-0.227289
3.55,-0.226741
3.56,-0.226192
3.57,-0.225643
3.58,-0.225092
3.59,-0.22454
3.6,-0.223987
3.61,-0.223434
3.62,-0.222879
3.63,-0.222324
3.64,-0.221767
3.65,-0.22121
3.66,-0.220651
3.67,-0.220092
3.68,-0.219532
3.69,-0.218971
3.7,-0.218409
3.71,-0.217846
3.72,-0.217282
3.73,-0.216717
3.74,-0.216152
3.75,-0.215585
3.76,-0.215018
3.77,-0.21445
3.78,-0.213881
3.79,-0.213311
3.8,-0.21274
3.81,-0.212168
3.82,-0.211595
3.83,-0.211022
3.84,-0.210448
3.85,-0.209873
3.86,-0.209297
3.87,-0.20872
3.88,-0.208142
3.89,-0.207564
3.9,-0.206985
3.91,-0.206405
3.92,-0.205824
3.93,-0.205242
3.94,-0.20466
3.95,-0.204077
3.96,-0.203493
3.97,-0.202908
3.98,-0.202322
3.99,-0.201736
4,-0.201149
4.01,-0.200561
4.02,-0.199972
4.03,-0.199383
4.04,-0.198793
4.05,-0.198202
4.06,-0.19761
4.07,-0.197018
4.08,-0.196425
4.09,-0.195831
4.1,-0.195236
4.11,-0.194641
4.12,-0.194045
4.13,-0.193448
4.14,-0.192851
4.15,-0.192253
4.16,-0.191654
4.17,-0.191054
4.18,-0.190454
4.19,-0.189853
4.2,-0.189252
4.21,-0.18865
4.22,-0.188047
4.23,-0.187443
4.24,-0.186839
4.25,-0.186234
4.26,-0.185629
4.27,-0.185023
4.28,-0.184416
4.29,-0.183809
4.3,-0.183201
4.31,-0.182592
4.32,-0.181983
4.33,-0.181373
4.34,-0.180763
4.35,-0.180152
4.36,-0.17954
4.37,-0.178928
4.38,-0.178315
4.39,-0.177702
4.4,-0.177088
4.41,-0.176473
4.42,-0.175858
4.43,-0.175243
4.44,-0.174626
4.45,-0.17401
4.46,-0.173392
4.47,-0.172774
4.48,-0.172156
4.49,-0.171537
4.5,-0.170918
4.51,-0.170298
4.52,-0.169677
4.53,-0.169056
4.54,-0.168435
4.55,-0.167813
4.56,-0.16719
4.57,-0.166567
4.58,-0.165944
4.59,-0.16532
4.6,-0.164696
4.61,-0.164071
4.62,-0.163445
4.63,-0.162819
4.64,-0.162193
4.65,-0.161566
4.66,-0.160939
4.67,-0.160312
4.68,-0.159684
4.69,-0.159055
4.7,-0.158426
4.71,-0.157797
4.72,-0.157167
4.73,-0.156537
4.74,-0.155906
4.75,-0.155276
4.76,-0.154644
4.77,-0.154012
4.78,-0.15338
4.79,-0.152748
4.8,-0.152115
4.81,-0.151482
4.82,-0.150848
4.83,-0.150214
4.84,-0.14958
4.85,-0.148945
4.86,-0.14831
4.87,-0.147675
4.88,-0.147039
4.89,-0.146403
4.9,-0.145766
4.91,-0.14513
4.92,-0.144493
4.93,-0.143855
4.94,-0.143218
4.95,-0.14258
4.96,-0.141942
4.97,-0.141303
4.98,-0.140664
4.99,-0.140025
5,-0.139386
5.01,-0.138746
5.02,-0.138107
5.03,-0.137466
5.04,-0.136826
5.05,-0.136185
5.06,-0.135544
5.07,-0.134903
5.08,-0.134262
5.09,-0.13362
5.1,-0.132979
5.11,-0.132337
5.12,-0.131694
5.13,-0.131052
5.14,-0.130409
5.15,-0.129766
5.16,-0.129123
5.17,-0.12848
5.18,-0.127837
5.19,-0.127193
5.2,-0.126549
5.21,-0.125905
5.22,-0.125261
5.23,-0.124617
5.24,-0.123973
5.25,-0.123328
5.26,-0.122683
5.27,-0.122039
5.28,-0.121394
5.29,-0.120749
5.3,-0.120103
5.31,-0.119458
5.32,-0.118813
5.33,-0.118167
5.34,-0.117521
5.35,-0.116876
5.36,-0.11623
5.37,-0.115584
5.38,-0.114938
5.39,-0.114292
5.4,-0.113646
5.41,-0.112999
5.42,-0.112353
5.43,-0.111707
5.44,-0.11106
5.45,-0.110414
5.46,-0.109767
5.47,-0.109121
5.48,-0.108474
5.49,-0.107828
5.5,-0.107181
5.51,-0.106535
5.52,-0.105888
5.53,-0.105241
5.54,-0.104595
5.55,-0.103948
5.56,-0.103302
5.57,-0.102655
5.58,-0.102008
5.59,-0.101362
5.6,-0.100715
5.61,-0.100069
5.62,-0.0994223
5.63,-0.0987759
5.64,-0.0981296
5.65,-0.0974833
5.66,-0.0968371
5.67,-0.0961909
5.68,-0.0955448
5.69,-0.0948987
5.7,-0.0942528
5.71,-0.0936069
5.72,-0.0929612
5.73,-0.0923155
5.74,-0.0916699
5.75,-0.0910244
5.76,-0.0903791
5.77,-0.0897338
5.78,-0.0890887
5.79,-0.0884437
5.8,-0.0877988
5.81,-0.0871541
5.82,-0.0865095
5.83,-0.085865
5.84,-0.0852207
5.85,-0.0845766
5.86,-0.0839326
5.87,-0.0832887
5.88,-0.0826451
5.89,-0.0820016
5.9,-0.0813583
5.91,-0.0807152
5.92,-0.0800723
5.93,-0.0794295
5.94,-0.078787
5.95,-0.0781447
5.96,-0.0775026
5.97,-0.0768606
5.98,-0.076219
5.99,-0.0755775
6,-0.0749363
6.01,-0.0742953
6.02,-0.0736545
6.03,-0.073014
6.04,-0.0723737
6.05,-0.0717337
6.06,-0.071094
6.07,-0.0704545
6.08,-0.0698153
6.09,-0.0691763
6.1,-0.0685377
6.11,-0.0678993
6.12,-0.0672612
6.13,-0.0666234
6.14,-0.0659859
6.15,-0.0653487
6.16,-0.0647118
6.17,-0.0640752
6.18,-0.0634389
6.19,-0.062803
6.2,-0.0621674
6.21,-0.0615321
6.22,-0.0608971
6.23,-0.0602625
6.24,-0.0596283
6.25,-0.0589944
6.26,-0.0583608
6.27,-0.0577276
6.28,-0.0570948
6.29,-0.0564623
6.3,-0.0558303
6.31,-0.0551986
6.32,-0.0545672
6.33,-0.0539363
6.34,-0.0533058
6.35,-0.0526757
6.36,-0.0520459
6.37,-0.0514166
6.38,-0.0507877
6.39,-0.0501592
6.4,-0.0495311
6.41,-0.0489035
6.42,-0.0482763
6.43,-0.0476495
6.44,-0.0470232
6.45,-0.0463973
6.46,-0.0457719
6.47,-0.0451469
6.48,-0.0445224
6.49,-0.0438984
6.5,-0.0432748
6.51,-0.0426517
6.52,-0.0420291
6.53,-0.0414069
6.54,-0.0407853
6.55,-0.0401641
6.56,-0.0395435
6.57,-0.0389233
6.58,-0.0383037
6.59,-0.0376845
6.6,-0.0370659
6.61,-0.0364478
6.62,-0.0358302
6.63,-0.0352132
6.64,-0.0345967
6.65,-0.0339807
6.66,-0.0333653
6.67,-0.0327504
6.68,-0.0321361
6.69,-0.0315223
6.7,-0.0309091
6.71,-0.0302965
6.72,-0.0296844
6.73,-0.029073
6.74,-0.028462
6.75,-0.0278517
6.76,-0.027242
6.77,-0.0266329
6.78,-0.0260243
6.79,-0.0254164
6.8,-0.0248091
6.81,-0.0242024
6.82,-0.0235963
6.83,-0.0229908
6.84,-0.0223859
6.85,-0.0217817
6.86,-0.0211781
6.87,-0.0205752
6.88,-0.0199729
6.89,-0.0193712
6.9,-0.0187702
6.91,-0.0181699
6.92,-0.0175702
6.93,-0.0169712
6.94,-0.0163728
6.95,-0.0157752
6.96,-0.0151782
6.97,-0.0145819
6.98,-0.0139862
6.99,-0.0133913
7,-0.0127971
7.01,-0.0122035
7.02,-0.0116107
7.03,-0.0110186
7.04,-0.0104272
7.05,-0.00983648
7.06,-0.00924651
7.07,-0.00865727
7.08,-0.00806876
7.09,-0.00748098
7.1,-0.00689394
7.11,-0.00630765
7.12,-0.0057221
7.13,-0.00513731
7.14,-0.00455327
7.15,-0.00396999
7.16,-0.00338748
7.17,-0.00280573
7.18,-0.00222476
7.19,-0.00164456
7.2,-0.00106515
7.21,-0.000486523
7.22,9.13155e-05
7.23,0.00066836
7.24,0.00124461
7.25,0.00182005
7.26,0.00239469
7.27,0.00296852
7.28,0.00354153
7.29,0.00411373
7.3,0.0046851
7.31,0.00525565
7.32,0.00582536
7.33,0.00639424
7.34,0.00696228
7.35,0.00752948
7.36,0.00809583
7.37,0.00866133
7.38,0.00922598
7.39,0.00978977
7.4,0.0103527
7.41,0.0109147
7.42,0.0114759
7.43,0.0120362
7.44,0.0125957
7.45,0.0131542
7.46,0.0137119
7.47,0.0142687
7.48,0.0148245
7.49,0.0153795
7.5,0.0159336
7.51,0.0164868
7.52,0.017039
7.53,0.0175904
7.54,0.0181408
