dt,WR
3.57,1.30936
3.58,1.2777
3.59,1.24605
3.6,1.21443
3.61,1.18286
3.62,1.15133
3.63,1.11986
3.64,1.08847
3.65,1.05715
3.66,1.02591
3.67,0.994764
3.68,0.96372
3.69,0.932783
3.7,0.90196
3.71,0.871257
3.72,0.840679
3.73,0.810232
3.74,0.77992
3.75,0.749749
3.76,0.719721
3.77,0.689841
3.78,0.660111
3.79,0.630533
3.8,0.601109
3.81,0.571841
3.82,0.542729
3.83,0.513774
3.84,0.484975
3.85,0.456331
3.86,0.427842
3.87,0.399506
3.88,0.37132
3.89,0.343282
3.9,0.315388
3.91,0.287636
3.92,0.26002
3.93,0.232538
3.94,0.205182
3.95,0.177949
3.96,0.150833
3.97,0.123827
3.98,0.0969255
3.99,0.0701213
4,0.0434075
4.01,0.0167767
4.02,-0.00977877
4.03,-0.0362667
4.04,-0.0626953
4.05,-0.0890729
4.06,-0.115408
4.07,-0.141709
4.08,-0.167986
4.09,-0.194247
4.1,-0.220501
4.11,-0.246757
4.12,-0.273025
4.13,-0.299314
4.14,-0.325634
4.15,-0.351993
4.16,-0.378402
4.17,-0.404868
4.18,-0.431403
4.19,-0.458015
4.2,-0.484713
4.21,-0.511506
4.22,-0.538403
4.23,-0.565412
4.24,-0.592543
4.25,-0.619804
4.26,-0.647203
4.27,-0.674748
4.28,-0.702447
4.29,-0.730308
4.3,-0.758338
4.31,-0.786544
4.32,-0.814932
4.33,-0.843511
4.34,-0.872286
4.35,-0.901262
4.36,-0.930446
4.37,-0.959844
4.38,-0.98946
4.39,-1.0193
4.4,-1.04937
4.41,-1.07967
4.42,-1.1102
4.43,-1.14097
4.44,-1.17199
4.45,-1.20325
4.46,-1.23476
4.47,-1.26652
4.48,-1.29853
4.49,-1.3308
4.5,-1.36332
4.51,-1.39609
4.52,-1.42912
4.53,-1.46241
4.54,-1.49595
4.55,-1.52975
4.56,-1.5638
4.57,-1.5981
4.58,-1.63266
4.59,-1.66746
4.6,-1.70251
4.61,-1.7378
4.62,-1.77334
4.63,-1.80911
4.64,-1.84512
4.65,-1.88136
4.66,-1.91782
4.67,-1.9545
4.68,-1.99141
4.69,-2.02852
4.7,-2.06584
4.71,-2.10336
4.72,-2.14107
4.73,-2.17897
4.74,-2.21705
4.75,-2.2553
4.76,-2.29372
4.77,-2.33231
4.78,-2.37104
4.79,-2.40991
4.8,-2.44892
4.81,-2.48806
4.82,-2.52732
4.83,-2.56668
4.84,-2.60614
4.85,-2.6457
4.86,-2.68533
4.87,-2.72504
4.88,-2.7648
4.89,-2.80462
4.9,-2.84447
4.91,-2.88436
4.92,-2.92426
4.93,-2.96417
4.94,-3.00408
4.95,-3.04398
4.96,-3.08385
4.97,-3.12368
4.98,-3.16346
4.99,-3.20319
5,-3.24284
5.01,-3.28241
5.02,-3.32188
5.03,-3.36125
5.04,-3.40051
5.05,-3.43963
5.06,-3.47861
5.07,-3.51744
5.08,-3.55611
5.09,-3.5946
5.1,-3.6329
5.11,-3.67101
5.12,-3.70891
5.13,-3.74659
5.14,-3.78404
5.15,-3.82125
5.16,-3.8582
5.17,-3.8949
5.18,-3.93133
5.19,-3.96748
5.2,-4.00335
5.21,-4.03891
5.22,-4.07417
5.23,-4.10912
5.24,-4.14374
5.25,-4.17804
5.26,-4.212
5.27,-4.24562
5.28,-4.27889
5.29,-4.31181
5.3,-4.34437
5.31,-4.37657
5.32,-4.4084
5.33,-4.43986
5.34,-4.47095
5.35,-4.50166
5.36,-4.53199
5.37,-4.56195
5.38,-4.59152
5.39,-4.62071
5.4,-4.64953
5.41,-4.67797
5.42,-4.70603
5.43,-4.73371
5.44,-4.76103
5.45,-4.78797
5.46,-4.81455
5.47,-4.84078
5.48,-4.86664
5.49,-4.89216
5.5,-4.91734
5.51,-4.94218
5.52,-4.9667
5.53,-4.9909
5.54,-5.01478
5.55,-5.03837
5.56,-5.06166
5.57,-5.08468
5.58,-5.10742
5.59,-5.1299
5.6,-5.15214
5.61,-5.17414
5.62,-5.19592
5.63,-5.21749
5.64,-5.23887
5.65,-5.26006
5.66,-5.28108
5.67,-5.30195
5.68,-5.32268
5.69,-5.34329
5.7,-5.36379
5.71,-5.38419
5.72,-5.40451
5.73,-5.42477
5.74,-5.44498
5.75,-5.46515
5.76,-5.48531
5.77,-5.50547
5.78,-5.52564
5.79,-5.54584
5.8,-5.56609
5.81,-5.5864
5.82,-5.60678
5.83,-5.62725
5.84,-5.64783
5.85,-5.66853
5.86,-5.68936
5.87,-5.71034
5.88,-5.73147
5.89,-5.75279
5.9,-5.77429
5.91,-5.79599
5.92,-5.8179
5.93,-5.84003
5.94,-5.8624
5.95,-5.88501
5.96,-5.90787
5.97,-5.931
5.98,-5.9544
5.99,-5.97808
6,-6.00206
6.01,-6.02632
6.02,-6.05089
6.03,-6.07577
6.04,-6.10096
6.05,-6.12647
6.06,-6.1523
6.07,-6.17845
6.08,-6.20494
6.09,-6.23175
6.1,-6.2589
6.11,-6.28638
6.12,-6.31419
6.13,-6.34234
6.14,-6.37081
6.15,-6.39962
6.16,-6.42875
6.17,-6.45821
6.18,-6.48799
6.19,-6.51809
6.2,-6.5485
6.21,-6.57921
