dt,WR
0,13.5
0.01,13.4988
0.02,13.4952
0.03,13.4892
0.04,13.4808
0.05,13.47
0.06,13.4569
0.07,13.4414
0.08,13.4237
0.09,13.4036
0.1,13.3814
0.11,13.3569
0.12,13.3303
0.13,13.3015
0.14,13.2707
0.15,13.2379
0.16,13.2032
0.17,13.1665
0.18,13.1281
0.19,13.0878
0.2,13.0459
0.21,13.0023
0.22,12.9572
0.23,12.9106
0.24,12.8626
0.25,12.8132
0.26,12.7626
0.27,12.7109
0.28,12.658
0.29,12.6041
0.3,12.5493
0.31,12.4937
0.32,12.4373
0.33,12.3802
0.34,12.3225
0.35,12.2642
0.36,12.2056
0.37,12.1465
0.38,12.0872
0.39,12.0277
0.4,11.968
0.41,11.9083
0.42,11.8486
0.43,11.7889
0.44,11.7294
0.45,11.6701
0.46,11.6111
0.47,11.5524
0.48,11.4941
0.49,11.4363
0.5,11.3789
0.51,11.3221
0.52,11.2659
0.53,11.2103
0.54,11.1553
0.55,11.101
0.56,11.0475
0.57,10.9947
0.58,10.9427
0.59,10.8915
0.6,10.8411
0.61,10.7915
0.62,10.7428
0.63,10.6949
0.64,10.6479
0.65,10.6017
0.66,10.5563
0.67,10.5118
0.68,10.4681
0.69,10.4252
0.7,10.3831
0.71,10.3418
0.72,10.3012
0.73,10.2613
0.74,10.2222
0.75,10.1837
0.76,10.1459
0.77,10.1086
0.78,10.072
0.79,10.0358
0.8,10.0002
0.81,9.96499
0.82,9.93022
0.83,9.89581
0.84,9.86174
0.85,9.82794
0.86,9.79439
0.87,9.76102
0.88,9.72781
0.89,9.6947
0.9,9.66165
0.91,9.62861
0.92,9.59555
0.93,9.56241
0.94,9.52916
0.95,9.49575
0.96,9.46215
0.97,9.42831
0.98,9.3942
0.99,9.35978
1,9.32502
1.01,9.28988
1.02,9.25434
1.03,9.21837
1.04,9.18194
1.05,9.14503
1.06,9.10761
1.07,9.06967
1.08,9.03119
1.09,8.99215
1.1,8.95255
1.11,8.91237
1.12,8.87161
1.13,8.83026
1.14,8.78832
1.15,8.7458
1.16,8.7027
1.17,8.65901
1.18,8.61476
1.19,8.56995
1.2,8.5246
1.21,8.47872
1.22,8.43233
1.23,8.38546
1.24,8.33811
1.25,8.29033
1.26,8.24212
1.27,8.19353
1.28,8.14459
1.29,8.09532
1.3,8.04575
1.31,7.99593
1.32,7.94588
1.33,7.89565
1.34,7.84527
1.35,7.79478
1.36,7.74421
1.37,7.69362
1.38,7.64303
1.39,7.59249
1.4,7.54203
1.41,7.49171
1.42,7.44155
1.43,7.39159
1.44,7.34188
1.45,7.29245
1.46,7.24333
1.47,7.19457
1.48,7.1462
1.49,7.09825
1.5,7.05075
1.51,7.00374
1.52,6.95724
1.53,6.91129
1.54,6.86589
1.55,6.82109
1.56,6.77689
1.57,6.73333
1.58,6.69041
1.59,6.64815
1.6,6.60656
1.61,6.56566
1.62,6.52545
