dt,WR
0,13.5
0.01,13.4988
0.02,13.4951
0.03,13.489
0.04,13.4805
0.05,13.4696
0.06,13.4563
0.07,13.4406
0.08,13.4226
0.09,13.4022
0.1,13.3796
0.11,13.3548
0.12,13.3278
0.13,13.2986
0.14,13.2673
0.15,13.234
0.16,13.1986
0.17,13.1614
0.18,13.1223
0.19,13.0814
0.2,13.0387
0.21,12.9944
0.22,12.9484
0.23,12.901
0.24,12.8521
0.25,12.8018
0.26,12.7503
0.27,12.6975
0.28,12.6436
0.29,12.5887
0.3,12.5328
0.31,12.476
0.32,12.4184
0.33,12.3602
0.34,12.3013
0.35,12.2418
0.36,12.1819
0.37,12.1216
0.38,12.061
0.39,12.0003
0.4,11.9393
0.41,11.8784
0.42,11.8174
0.43,11.7566
0.44,11.6959
0.45,11.6354
0.46,11.5753
0.47,11.5155
0.48,11.4562
0.49,11.3974
0.5,11.3392
0.51,11.2815
0.52,11.2246
0.53,11.1683
0.54,11.1128
0.55,11.0581
0.56,11.0043
0.57,10.9514
0.58,10.8993
0.59,10.8482
0.6,10.7981
0.61,10.749
0.62,10.7008
0.63,10.6537
0.64,10.6077
0.65,10.5627
0.66,10.5187
0.67,10.4758
0.68,10.4339
0.69,10.3931
0.7,10.3533
0.71,10.3145
0.72,10.2768
0.73,10.24
0.74,10.2042
0.75,10.1693
0.76,10.1354
0.77,10.1023
0.78,10.0701
0.79,10.0387
0.8,10.008
0.81,9.97816
0.82,9.94897
0.83,9.92045
0.84,9.89253
0.85,9.86519
0.86,9.83836
0.87,9.81201
0.88,9.78608
0.89,9.76052
0.9,9.73528
0.91,9.71032
0.92,9.68557
0.93,9.66099
0.94,9.63652
0.95,9.61212
0.96,9.58773
0.97,9.5633
0.98,9.53879
0.99,9.51413
1,9.48929
1.01,9.46422
1.02,9.43887
1.03,9.41319
1.04,9.38715
1.05,9.3607
1.06,9.33379
1.07,9.30641
1.08,9.2785
1.09,9.25003
1.1,9.22097
1.11,9.1913
1.12,9.16098
1.13,9.13
1.14,9.09831
1.15,9.06592
1.16,9.0328
1.17,8.99893
1.18,8.9643
1.19,8.92891
1.2,8.89274
1.21,8.8558
1.22,8.81807
1.23,8.77956
1.24,8.74028
1.25,8.70023
1.26,8.65941
1.27,8.61784
1.28,8.57553
1.29,8.5325
1.3,8.48876
1.31,8.44433
1.32,8.39924
1.33,8.35351
1.34,8.30717
1.35,8.26023
1.36,8.21275
1.37,8.16473
1.38,8.11622
1.39,8.06725
1.4,8.01786
1.41,7.96808
1.42,7.91795
1.43,7.8675
1.44,7.81678
1.45,7.76583
1.46,7.71468
1.47,7.66338
1.48,7.61197
1.49,7.56049
1.5,7.50897
1.51,7.45746
1.52,7.40601
1.53,7.35464
1.54,7.3034
1.55,7.25233
1.56,7.20147
1.57,7.15084
1.58,7.1005
1.59,7.05047
1.6,7.00078
1.61,6.95147
1.62,6.90257
