dt,WR
0,13.5
0.01,13.4988
0.02,13.495
0.03,13.4888
0.04,13.4802
0.05,13.4691
0.06,13.4555
0.07,13.4396
0.08,13.4212
0.09,13.4005
0.1,13.3775
0.11,13.3523
0.12,13.3247
0.13,13.295
0.14,13.2632
0.15,13.2292
0.16,13.1933
0.17,13.1553
0.18,13.1154
0.19,13.0737
0.2,13.0302
0.21,12.985
0.22,12.9382
0.23,12.8897
0.24,12.8398
0.25,12.7885
0.26,12.7358
0.27,12.6819
0.28,12.6268
0.29,12.5706
0.3,12.5134
0.31,12.4553
0.32,12.3964
0.33,12.3367
0.34,12.2764
0.35,12.2154
0.36,12.154
0.37,12.0922
0.38,12.03
0.39,11.9676
0.4,11.905
0.41,11.8424
0.42,11.7797
0.43,11.7171
0.44,11.6547
0.45,11.5925
0.46,11.5306
0.47,11.4691
0.48,11.4079
0.49,11.3473
0.5,11.2873
0.51,11.2279
0.52,11.1691
0.53,11.1111
0.54,11.0539
0.55,10.9975
0.56,10.9419
0.57,10.8873
0.58,10.8336
0.59,10.7809
0.6,10.7293
0.61,10.6786
0.62,10.6291
0.63,10.5806
0.64,10.5332
0.65,10.4869
0.66,10.4418
0.67,10.3978
0.68,10.3549
0.69,10.3132
0.7,10.2726
0.71,10.2331
0.72,10.1948
0.73,10.1575
0.74,10.1214
0.75,10.0862
0.76,10.0522
0.77,10.0191
0.78,9.98705
0.79,9.95595
0.8,9.92577
0.81,9.89648
0.82,9.86805
0.83,9.84043
0.84,9.81358
0.85,9.78747
0.86,9.76204
0.87,9.73725
0.88,9.71306
0.89,9.68941
0.9,9.66626
0.91,9.64356
0.92,9.62125
0.93,9.59929
0.94,9.57762
0.95,9.5562
0.96,9.53496
0.97,9.51387
0.98,9.49286
0.99,9.47189
1,9.45091
1.01,9.42987
1.02,9.40872
1.03,9.38741
1.04,9.3659
1.05,9.34414
1.06,9.32209
1.07,9.2997
1.08,9.27695
1.09,9.25378
1.1,9.23016
1.11,9.20606
1.12,9.18144
1.13,9.15628
1.14,9.13054
1.15,9.10419
1.16,9.07723
1.17,9.04961
1.18,9.02133
1.19,8.99237
1.2,8.9627
1.21,8.93233
1.22,8.90124
1.23,8.86942
1.24,8.83687
1.25,8.80359
1.26,8.76957
1.27,8.73482
1.28,8.69935
1.29,8.66316
1.3,8.62627
1.31,8.58867
1.32,8.5504
1.33,8.51146
1.34,8.47187
1.35,8.43165
1.36,8.39083
1.37,8.34942
1.38,8.30746
1.39,8.26496
1.4,8.22197
1.41,8.1785
1.42,8.13459
1.43,8.09028
1.44,8.04559
1.45,8.00055
1.46,7.95521
1.47,7.9096
1.48,7.86375
1.49,7.81771
1.5,7.7715
1.51,7.72517
1.52,7.67874
1.53,7.63227
1.54,7.58578
1.55,7.53931
1.56,7.4929
1.57,7.44658
1.58,7.40038
1.59,7.35435
1.6,7.30851
1.61,7.26289
1.62,7.21753
