dt,WR
0,13.5
0.01,13.4988
0.02,13.4952
0.03,13.4892
0.04,13.4808
0.05,13.4701
0.06,13.457
0.07,13.4416
0.08,13.4238
0.09,13.4039
0.1,13.3816
0.11,13.3572
0.12,13.3307
0.13,13.302
0.14,13.2713
0.15,13.2385
0.16,13.2039
0.17,13.1673
0.18,13.1289
0.19,13.0888
0.2,13.0469
0.21,13.0034
0.22,12.9584
0.23,12.9119
0.24,12.864
0.25,12.8147
0.26,12.7643
0.27,12.7126
0.28,12.6598
0.29,12.6061
0.3,12.5514
0.31,12.4958
0.32,12.4395
0.33,12.3825
0.34,12.3249
0.35,12.2667
0.36,12.2082
0.37,12.1492
0.38,12.09
0.39,12.0305
0.4,11.9709
0.41,11.9113
0.42,11.8516
0.43,11.792
0.44,11.7326
0.45,11.6734
0.46,11.6144
0.47,11.5558
0.48,11.4975
0.49,11.4397
0.5,11.3824
0.51,11.3256
0.52,11.2693
0.53,11.2137
0.54,11.1588
0.55,11.1045
0.56,11.051
0.57,10.9982
0.58,10.9461
0.59,10.8949
0.6,10.8445
0.61,10.7948
0.62,10.746
0.63,10.6981
0.64,10.651
0.65,10.6047
0.66,10.5593
0.67,10.5146
0.68,10.4708
0.69,10.4278
0.7,10.3856
0.71,10.3442
0.72,10.3035
0.73,10.2635
0.74,10.2242
0.75,10.1856
0.76,10.1476
0.77,10.1102
0.78,10.0733
0.79,10.037
0.8,10.0012
0.81,9.96584
0.82,9.93088
0.83,9.89629
0.84,9.86201
0.85,9.82802
0.86,9.79426
0.87,9.76069
0.88,9.72726
0.89,9.69393
0.9,9.66066
0.91,9.6274
0.92,9.59411
0.93,9.56075
0.94,9.52726
0.95,9.49362
0.96,9.45978
0.97,9.4257
0.98,9.39135
0.99,9.35669
1,9.32168
1.01,9.2863
1.02,9.25051
1.03,9.21429
1.04,9.17761
1.05,9.14045
1.06,9.10278
1.07,9.06459
1.08,9.02585
1.09,8.98656
1.1,8.94671
1.11,8.90628
1.12,8.86526
1.13,8.82366
1.14,8.78147
1.15,8.7387
1.16,8.69534
1.17,8.65141
1.18,8.6069
1.19,8.56184
1.2,8.51624
1.21,8.47011
1.22,8.42347
1.23,8.37635
1.24,8.32875
1.25,8.28072
1.26,8.23227
1.27,8.18343
1.28,8.13424
1.29,8.08472
1.3,8.03491
1.31,7.98484
1.32,7.93455
1.33,7.88408
1.34,7.83346
1.35,7.78272
1.36,7.73192
1.37,7.68108
1.38,7.63025
1.39,7.57947
1.4,7.52878
1.41,7.47821
1.42,7.42781
1.43,7.37761
1.44,7.32766
1.45,7.278
1.46,7.22865
1.47,7.17965
1.48,7.13104
1.49,7.08286
1.5,7.03513
1.51,6.98788
1.52,6.94115
1.53,6.89496
1.54,6.84933
1.55,6.8043
1.56,6.75987
1.57,6.71608
1.58,6.67293
1.59,6.63044
1.6,6.58863
1.61,6.5475
1.62,6.50707
1.63,6.46732
