dt,WR
0,13.5
0.01,13.4988
0.02,13.495
0.03,13.4888
0.04,13.4801
0.05,13.469
0.06,13.4554
0.07,13.4395
0.08,13.4211
0.09,13.4004
0.1,13.3773
0.11,13.352
0.12,13.3245
0.13,13.2947
0.14,13.2628
0.15,13.2288
0.16,13.1928
0.17,13.1548
0.18,13.1148
0.19,13.0731
0.2,13.0295
0.21,12.9842
0.22,12.9373
0.23,12.8888
0.24,12.8388
0.25,12.7874
0.26,12.7347
0.27,12.6807
0.28,12.6255
0.29,12.5693
0.3,12.512
0.31,12.4539
0.32,12.3949
0.33,12.3351
0.34,12.2747
0.35,12.2137
0.36,12.1522
0.37,12.0903
0.38,12.0281
0.39,11.9656
0.4,11.903
0.41,11.8403
0.42,11.7776
0.43,11.715
0.44,11.6526
0.45,11.5903
0.46,11.5284
0.47,11.4668
0.48,11.4057
0.49,11.3451
0.5,11.2851
0.51,11.2256
0.52,11.1669
0.53,11.1089
0.54,11.0517
0.55,10.9953
0.56,10.9398
0.57,10.8852
0.58,10.8316
0.59,10.7789
0.6,10.7273
0.61,10.6767
0.62,10.6272
0.63,10.5788
0.64,10.5315
0.65,10.4853
0.66,10.4403
0.67,10.3964
0.68,10.3536
0.69,10.312
0.7,10.2715
0.71,10.2322
0.72,10.1939
0.73,10.1568
0.74,10.1207
0.75,10.0858
0.76,10.0518
0.77,10.0189
0.78,9.98702
0.79,9.95606
0.8,9.92604
0.81,9.89691
0.82,9.86864
0.83,9.84119
0.84,9.81451
0.85,9.78857
0.86,9.76332
0.87,9.73871
0.88,9.71469
0.89,9.69122
0.9,9.66826
0.91,9.64574
0.92,9.62361
0.93,9.60183
0.94,9.58035
0.95,9.55911
0.96,9.53806
0.97,9.51715
0.98,9.49633
0.99,9.47555
1,9.45475
1.01,9.43389
1.02,9.41292
1.03,9.39179
1.04,9.37046
1.05,9.34888
1.06,9.327
1.07,9.30479
1.08,9.28221
1.09,9.25921
1.1,9.23575
1.11,9.21182
1.12,9.18736
1.13,9.16235
1.14,9.13676
1.15,9.11057
1.16,9.08375
1.17,9.05628
1.18,9.02814
1.19,8.99931
1.2,8.96978
1.21,8.93953
1.22,8.90857
1.23,8.87687
1.24,8.84443
1.25,8.81126
1.26,8.77736
1.27,8.74271
1.28,8.70734
1.29,8.67125
1.3,8.63444
1.31,8.59694
1.32,8.55875
1.33,8.51988
1.34,8.48037
1.35,8.44022
1.36,8.39947
1.37,8.35812
1.38,8.31622
1.39,8.27378
1.4,8.23084
1.41,8.18742
1.42,8.14356
1.43,8.09928
1.44,8.05463
1.45,8.00963
1.46,7.96432
1.47,7.91873
1.48,7.87291
1.49,7.82688
1.5,7.78069
1.51,7.73437
1.52,7.68796
1.53,7.64149
1.54,7.59501
1.55,7.54854
1.56,7.50213
1.57,7.4558
1.58,7.4096
1.59,7.36356
1.6,7.31771
1.61,7.27208
1.62,7.2267
